onset	duration	trial_type	response_time	confidence	task	stimulus	response	key_id	include	uid	trial_number
0.00	5.00	instructions	n/a	n/a	1	n/a	n/a	n/a	n/a	n/a	n/a
10.02	4.00	NY	0.93	6	1	0	1	n/a	0	14901	1
10.97	0	button press	n/a	n/a	n/a	n/a	n/a	50	n/a	n/a	-100
12.17	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
12.47	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
12.68	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
16.28	4.00	YY	1.02	4	1	1	1	n/a	1	14902	2
17.30	0	button press	n/a	n/a	n/a	n/a	n/a	50	n/a	n/a	-100
22.45	4.00	YY	0.88	6	1	1	1	n/a	1	14903	3
23.33	0	button press	n/a	n/a	n/a	n/a	n/a	50	n/a	n/a	-100
24.38	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
24.63	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
29.28	4.00	NN	1.12	2	1	0	0	n/a	1	14904	4
30.40	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
31.92	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
37.82	4.00	NY	0.91	4	1	0	1	n/a	1	14905	5
38.73	0	button press	n/a	n/a	n/a	n/a	n/a	50	n/a	n/a	-100
39.80	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
40.07	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
43.97	4.00	YY	0.83	6	1	1	1	n/a	1	14906	6
44.80	0	button press	n/a	n/a	n/a	n/a	n/a	50	n/a	n/a	-100
45.82	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
46.02	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
46.23	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
46.43	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
51.88	4.00	NN	1.28	4	1	0	0	n/a	1	14907	7
53.17	0	button press	n/a	n/a	n/a	n/a	n/a	51	n/a	n/a	-100
54.08	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
54.38	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
55.06	0	button press	n/a	n/a	n/a	n/a	n/a	55	n/a	n/a	-100
58.15	4.00	NY	0.98	6	1	0	1	n/a	1	14908	8
